customer_id,arrival_time,service_time,service_start,departure_time,waiting_time,time_in_system,queue_length_on_arrival
125,210.757263,0.111845,228.736678,228.848522,17.979414,18.091259,8
126,214.528753,1.646067,228.848522,230.494589,14.31977,15.965837,8
127,214.856096,0.181127,230.494589,230.675716,15.638493,15.81962,9
128,215.160803,0.488299,230.675716,231.164015,15.514914,16.003212,10
129,216.6379,0.588862,231.164015,231.752877,14.526115,15.114978,10
130,218.137873,0.922847,231.752877,232.675724,13.615004,14.537851,10
131,218.561344,0.254332,232.675724,232.930056,14.11438,14.368712,11
132,221.456831,1.504244,232.930056,234.4343,11.473225,12.977469,12
133,224.491991,0.254493,234.4343,234.688793,9.942309,10.196802,9
134,227.138162,0.518295,234.688793,235.207088,7.550631,8.068926,10
135,232.617127,2.568224,235.207088,237.775311,2.589961,5.158184,4
136,234.523893,1.994957,237.775311,239.770269,3.251418,5.246375,2
137,236.175856,0.989065,239.770269,240.759334,3.594413,4.583478,1
138,237.894546,0.343697,240.759334,241.103031,2.864788,3.208485,1
139,243.960638,0.188403,243.960638,244.14904,0.0,0.188403,0
140,244.471751,0.382328,244.471751,244.854079,0.0,0.382328,0
141,245.38661,0.585733,245.38661,245.972343,0.0,0.585733,0
142,245.977938,2.5295,245.977938,248.507438,0.0,2.5295,0
143,246.840572,1.568376,248.507438,250.075814,1.666866,3.235242,0
144,247.875529,1.659196,250.075814,251.735009,2.200285,3.859481,1
145,251.872227,0.862829,251.872227,252.735056,0.0,0.862829,0
146,252.482837,1.264291,252.735056,253.999347,0.252219,1.51651,0
147,252.98719,1.3979,253.999347,255.397247,1.012156,2.410056,0
148,255.658514,0.353467,255.658514,256.011981,0.0,0.353467,0
149,255.874857,0.864421,256.011981,256.876402,0.137124,1.001545,0
150,256.073162,0.663937,256.876402,257.540339,0.80324,1.467177,0
151,257.673923,4.212283,257.673923,261.886206,0.0,4.212283,0
152,258.730005,1.561382,261.886206,263.447588,3.156201,4.717583,0
153,258.916982,0.558707,263.447588,264.006295,4.530606,5.089313,1
154,263.671329,1.083845,264.006295,265.09014,0.334966,1.418811,0
155,272.877057,0.077161,272.877057,272.954218,0.0,0.077161,0
156,274.330626,0.605501,274.330626,274.936126,0.0,0.605501,0
157,277.98584,0.098051,277.98584,278.083891,0.0,0.098051,0
158,281.058574,1.778373,281.058574,282.836947,0.0,1.778373,0
159,284.853213,0.508935,284.853213,285.362149,0.0,0.508935,0
160,288.849564,5.091039,288.849564,293.940603,0.0,5.091039,0
161,290.383998,0.985965,293.940603,294.926568,3.556605,4.54257,0
162,290.528325,0.359155,294.926568,295.285723,4.398244,4.757399,1
163,298.515379,0.458686,298.515379,298.974066,0.0,0.458686,0
164,300.629351,2.147233,300.629351,302.776584,0.0,2.147233,0
165,304.279811,3.092419,304.279811,307.37223,0.0,3.092419,0
166,305.29895,2.968996,307.37223,310.341226,2.07328,5.042276,0
167,307.671024,0.326276,310.341226,310.667502,2.670203,2.996479,0
168,308.651097,2.969772,310.667502,313.637275,2.016405,4.986177,1
169,311.312238,1.523261,313.637275,315.160536,2.325037,3.848298,0
170,316.621251,0.183477,316.621251,316.804728,0.0,0.183477,0
171,320.837605,2.833263,320.837605,323.670868,0.0,2.833263,0
172,321.914362,6.120181,323.670868,329.791048,1.756506,7.876686,0
173,324.112163,4.282993,329.791048,334.074041,5.678885,9.961878,0
174,324.648476,1.843609,334.074041,335.91765,9.425566,11.269175,1
175,324.841614,1.62852,335.91765,337.54617,11.076037,12.704556,2
176,325.068589,1.711037,337.54617,339.257207,12.477582,14.188619,3
177,327.109107,3.350751,339.257207,342.607958,12.1481,15.498851,4
178,327.547518,1.365878,342.607958,343.973836,15.06044,16.426318,5
179,328.596842,1.123008,343.973836,345.096844,15.376994,16.500002,6
180,328.991305,0.863275,345.096844,345.960119,16.105539,16.968814,7
181,330.357105,1.193466,345.960119,347.153585,15.603014,16.79648,7
182,331.657204,1.335201,347.153585,348.488787,15.496381,16.831582,8
183,331.915783,1.882447,348.488787,350.371234,16.573004,18.455451,9
184,333.52352,4.915349,350.371234,355.286583,16.847714,21.763063,10
185,334.506484,1.679982,355.286583,356.966564,20.780099,22.46008,10
186,337.789567,0.896653,356.966564,357.863217,19.176997,20.07365,9
187,341.525611,0.035325,357.863217,357.898542,16.337606,16.372931,9
188,341.909901,0.571879,357.898542,358.470421,15.988641,16.56052,10
189,344.146574,3.360053,358.470421,361.830474,14.323848,17.6839,9
190,345.77139,0.713329,361.830474,362.543803,16.059084,16.772413,9
191,345.86909,0.001578,362.543803,362.545381,16.674712,16.676291,10
192,347.262258,0.152863,362.545381,362.698244,15.283123,15.435986,9
193,348.153366,1.208906,362.698244,363.90715,14.544878,15.753784,10
194,349.252398,1.776279,363.90715,365.683429,14.654752,16.431031,10
195,349.467372,2.491862,365.683429,368.17529,16.216057,18.707919,11
196,354.456012,4.082787,368.17529,372.258077,13.719279,17.802066,11
197,354.823299,3.503323,372.258077,375.7614,17.434779,20.938101,12
198,357.097138,2.041414,375.7614,377.802814,18.664262,20.705676,11
199,357.972969,1.025401,377.802814,378.828215,19.829845,20.855246,10
200,359.947937,0.351112,378.828215,379.179327,18.880278,19.23139,10
201,363.056856,1.470145,379.179327,380.649471,16.122471,17.592615,7
202,363.145648,1.598219,380.649471,382.247691,17.503823,19.102042,8
203,363.256537,0.965476,382.247691,383.213167,18.991154,19.95663,9
204,363.915086,0.639855,383.213167,383.853022,19.298081,19.937937,9
205,365.929118,4.427488,383.853022,388.280511,17.923904,22.351393,9
206,368.872432,0.312893,388.280511,388.593403,19.408078,19.720971,9
207,369.354287,0.067532,388.593403,388.660935,19.239116,19.306648,10
208,374.362333,1.437364,388.660935,390.098299,14.298601,15.735966,10
209,376.195937,0.099186,390.098299,390.197485,13.902362,14.001548,10
210,380.098766,0.003133,390.197485,390.200618,10.098719,10.101852,8
211,383.290813,1.069103,390.200618,391.26972,6.909804,7.978907,6
212,386.54544,3.090104,391.26972,394.359825,4.72428,7.814385,6
213,386.568721,2.796811,394.359825,397.156636,7.791104,10.587915,7
214,387.443977,0.643556,397.156636,397.800192,9.712659,10.356215,8
215,389.348828,1.389921,397.800192,399.190113,8.451364,9.841285,6
216,392.259746,0.632064,399.190113,399.822177,6.930367,7.562432,3
217,393.539391,2.006787,399.822177,401.828964,6.282786,8.289574,4
218,394.02244,0.278883,401.828964,402.107847,7.806524,8.085407,5
219,396.113944,6.420012,402.107847,408.527859,5.993903,12.413916,5
220,396.751308,1.171457,408.527859,409.699317,11.776551,12.948008,6
221,397.051365,1.506981,409.699317,411.206297,12.647951,14.154932,7
222,399.205981,4.421091,411.206297,415.627388,12.000316,16.421407,5
223,406.083809,0.021639,415.627388,415.649027,9.543579,9.565217,3
224,408.924262,0.529135,415.649027,416.178161,6.724764,7.253899,3
225,409.172418,4.139978,416.178161,420.31814,7.005743,11.145721,4
226,411.860338,3.403643,420.31814,423.721782,8.457801,11.861444,3
227,416.75725,4.712003,423.721782,428.433786,6.964532,11.676536,1
228,419.497692,0.65168,428.433786,429.085466,8.936094,9.587774,2
229,419.628799,0.745166,429.085466,429.830632,9.456667,10.201833,3
230,422.95869,5.751585,429.830632,435.582218,6.871942,12.623528,3
231,424.118938,0.962211,435.582218,436.544428,11.463279,12.42549,3
232,424.534347,4.131677,436.544428,440.676105,12.010082,16.141758,4
233,426.583328,1.043368,440.676105,441.719473,14.092777,15.136144,5
234,428.281209,2.706207,441.719473,444.42568,13.438263,16.144471,6
235,428.91573,0.613548,444.42568,445.039228,15.50995,16.123497,6
236,429.39103,0.507408,445.039228,445.546636,15.648198,16.155606,6
237,429.586797,0.050891,445.546636,445.597527,15.959839,16.01073,7
238,430.07247,0.828337,445.597527,446.425864,15.525057,16.353394,7
239,433.780274,1.249108,446.425864,447.674973,12.64559,13.894698,8
240,438.376844,6.245842,447.674973,453.920814,9.298129,15.543971,7
241,440.321767,9.469139,453.920814,463.389953,13.599047,23.068187,8
242,442.649874,1.75489,463.389953,465.144844,20.74008,22.49497,7
