customer_index,cross_replication_avg_wait,smoothed_avg_wait
448,7.701563,8.723868
449,8.664578,8.551034
450,7.652401,8.334997
451,7.411145,8.158537
452,6.611113,7.970944
453,6.137018,7.787632
454,6.518604,7.620662
455,6.97979,7.461731
456,7.494354,7.374629
457,7.722183,7.312805
458,7.968076,7.245272
459,8.138265,7.184892
460,8.356351,7.161967
461,7.945196,7.15762
462,7.490261,7.221252
463,7.315794,7.311548
464,7.370537,7.362333
465,7.831834,7.401361
466,7.997903,7.456047
467,7.876062,7.516944
468,8.467723,7.574117
469,9.858779,7.68689
470,9.517586,7.784095
471,8.836989,7.834335
472,8.714238,7.863134
473,9.26967,7.925858
474,8.200125,7.90728
475,7.042323,7.882877
476,7.886685,7.901898
477,8.602206,7.981542
478,8.218002,8.064781
479,7.787211,8.115526
480,7.528893,8.13749
481,7.450028,8.135717
482,7.751784,8.136901
483,7.493685,8.117925
484,7.188998,8.079955
485,7.621165,8.050547
486,7.800449,8.044757
487,7.479622,8.044332
488,8.827397,8.104796
489,7.970301,8.128786
490,8.785521,8.166934
491,9.090495,8.210638
492,9.912561,8.292097
493,9.209999,8.321788
494,7.847893,8.241353
495,6.941513,8.13831
496,7.188898,8.072386
497,7.25813,8.014142
498,6.310901,7.895791
499,5.511591,7.78825
500,5.543931,7.728314
501,5.042617,7.614552
502,5.448438,7.488401
503,6.646614,7.425545
504,6.983376,7.393392
505,7.514267,7.392807
506,7.692926,7.402523
507,6.741377,7.362106
508,6.243198,7.312087
509,6.293235,7.276256
510,5.035021,7.172811
511,5.745464,7.090611
512,6.210864,7.039861
513,6.514875,6.94736
514,6.160756,6.874978
515,6.103439,6.767695
516,6.418645,6.660821
517,6.742269,6.534009
518,7.025353,6.446624
519,7.036021,6.414149
520,7.692995,6.444208
521,8.273625,6.487597
522,7.862409,6.511768
523,7.975498,6.578352
524,7.090784,6.64152
525,6.886479,6.695222
526,6.66104,6.759959
527,7.676016,6.849062
528,6.827937,6.856315
529,6.678231,6.844109
530,7.803083,6.855662
531,6.476145,6.80699
532,6.316193,6.789983
533,5.033897,6.741611
534,5.504561,6.710064
535,5.971938,6.747541
536,6.191584,6.765385
537,7.110416,6.801368
538,6.232642,6.790078
539,6.849385,6.817623
540,7.625878,6.878521
541,7.70078,6.929806
542,7.96616,6.978762
543,8.183401,7.025084
544,7.345065,7.037446
545,8.455402,7.067942
546,7.672653,7.043903
547,7.427008,7.026487
548,8.127906,7.032583
549,7.06557,7.031575
550,7.015159,7.036722
551,6.590609,7.033905
552,6.45546,6.985083
553,5.485301,6.931377
554,5.48694,6.883726
555,6.335523,6.825023
556,6.639656,6.831564
557,6.980089,6.858119
558,6.613238,6.921293
559,7.007253,6.981401
560,6.567772,7.005234
561,6.262405,7.008067
562,7.212588,7.012154
563,7.226795,7.05192
564,6.544783,7.039736
565,6.556299,6.996953
566,4.943277,6.886653
567,5.466589,6.78667
568,6.210846,6.707767
569,6.338717,6.667514
570,6.557487,6.591597
571,6.569081,6.547454
572,6.29723,6.502263
573,6.003635,6.417292
574,7.278035,6.425791
575,7.554797,6.447376
576,7.709713,6.49214
577,6.938078,6.511445
578,7.699212,6.600002
579,8.060414,6.70294
580,8.533675,6.790867
581,8.668263,6.872011
582,8.461388,6.931263
583,8.784315,7.018106
584,7.883579,7.053159
585,7.603914,7.094605
586,6.103336,7.088242
587,7.115336,7.084352
588,7.430563,7.092502
589,8.229033,7.159872
590,7.44657,7.195483
591,6.763931,7.268309
592,7.835814,7.363078
593,7.567977,7.417364
594,7.482818,7.463128
